Date,Open,High,Low,Close
12/31/20,3733.27,3760.2,3726.88,3756.07
12/31/19,3215.18,3231.72,3212.03,3230.78
12/31/18,2498.94,2509.24,2482.82,2506.85
12/31/15,2060.59,2062.54,2043.62,2043.94
12/31/14,2082.11,2085.58,2057.94,2058.9
12/31/13,1842.61,1849.44,1842.41,1848.36
12/31/09,1126.6,1127.64,1114.81,1115.1
12/31/08,890.22,910.32,889.67,903.25
12/31/04,1211.92,1217.33,1211.65,1211.92
12/31/03,1111.92,1112.56,1106.21,1111.92
12/31/02,879.82,881.83,869.43,879.82
12/31/01,1148.08,1161.16,1148.04,1148.08
12/31/98,1229.23,1237.18,1224.96,1229.23
12/31/97,970.43,975.02,967.41,970.43
12/31/96,740.74,753.95,740.74,740.74
12/31/92,435.71,439.59,435.71,435.71
12/31/91,417.09,418.32,412.73,417.09
12/31/90,330.22,330.23,327.5,330.22
12/31/87,247.08,247.86,245.22,247.08
12/31/86,242.17,244.03,241.28,242.17
12/31/85,211.28,211.66,210.78,211.28
12/31/81,122.55,123.42,121.57,122.55
