Date,Open,High,Low,Close
01/02/20,3244.67,3258.14,3235.53,3257.85
01/02/19,2476.96,2519.49,2467.47,2510.03
01/02/18,2683.73,2695.89,2682.36,2695.81
01/02/15,2058.9,2072.36,2046.04,2058.2
01/02/14,1845.86,1845.86,1827.74,1831.98
01/02/13,1426.19,1462.43,1426.19,1462.42
01/02/09,904.61,934.73,899.73,931.8
01/02/08,1447.16,1471.77,1442.07,1447.16
01/02/04,1108.48,1118.85,1105.08,1108.48
01/02/03,909.03,909.03,879.82,909.03
01/02/02,1154.67,1154.67,1136.23,1154.67
01/02/01,1283.27,1320.28,1276.05,1283.27
01/02/98,975.04,975.04,965.73,975.04
01/02/97,737.01,742.81,729.55,737.01
01/02/96,620.73,620.74,613.17,620.73
01/02/92,417.26,417.27,411.04,417.26
01/02/91,326.45,330.75,326.45,326.45
01/02/90,359.69,359.69,351.98,359.69
01/02/87,246.45,246.45,242.17,246.45
01/02/86,209.59,211.22,208.97,209.59
01/02/85,165.37,167.12,165.25,165.37
01/02/81,136.34,135.73,135.06,136.34
